seed,dataset,noise_type,noise_level,frame_mode,estimator_label,permuted,k,g_hat,trace_cov_B,fve,num_graphs,n
42,sbm_d0.00,gaussian,0.2,frechet,bin_1d,True,8,0.1482679117470979,7.376012802124023,0.020101363124587,200,50
42,sbm_d0.00,gaussian,0.2,frechet,bin_1d,False,16,0.4954574182629585,24.61021423339844,0.0201321863176052,200,50
42,sbm_d0.00,gaussian,0.2,frechet,bin_1d,True,16,0.4284866973757744,24.61021423339844,0.0174109291902984,200,50
42,sbm_d0.00,gaussian,0.2,frechet,bin_1d,False,32,1.6711328327655792,101.57726287841795,0.0164518395693121,200,50
42,sbm_d0.00,gaussian,0.2,frechet,bin_1d,True,32,1.4850984513759613,101.57726287841795,0.0146203826456077,200,50
42,sbm_d0.00,gaussian,0.2,frechet,invariants_knn,False,4,172.4619598388672,348.58203125,0.4947528684150072,200,50
42,sbm_d0.00,gaussian,0.2,frechet,invariants_knn,True,4,25.27403259277344,348.58203125,0.0725052651226509,200,50
42,sbm_d0.00,gaussian,0.2,frechet,invariants_knn,False,8,164.8828887939453,360.8745727539063,0.4568980505766613,200,50
42,sbm_d0.00,gaussian,0.2,frechet,invariants_knn,True,8,29.05401611328125,360.8745727539063,0.0805100118070503,200,50
42,sbm_d0.00,gaussian,0.2,frechet,invariants_knn,False,16,153.9759979248047,342.3868408203125,0.4497135390948409,200,50
42,sbm_d0.00,gaussian,0.2,frechet,invariants_knn,True,16,26.360483169555664,342.3868408203125,0.0769903513417732,200,50
42,sbm_d0.00,gaussian,0.2,frechet,invariants_knn,False,32,164.10711669921875,372.3475646972656,0.440736377133673,200,50
42,sbm_d0.00,gaussian,0.2,frechet,invariants_knn,True,32,28.662660598754883,372.3475646972656,0.0769782410744618,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_top_k,False,4,0.3685013949871063,0.6411125063896179,0.5747842871796359,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_top_k,True,4,0.0683109611272811,0.6411125063896179,0.1065506606819601,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_top_k,False,8,0.378394216299057,0.7744686603546143,0.488585575723358,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_top_k,True,8,0.0795899704098701,0.7744686603546143,0.1027671931533387,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_top_k,False,16,0.3949266672134399,0.9125336408615112,0.4327803924473346,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_top_k,True,16,0.0911261737346649,0.9125336408615112,0.0998606184519771,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_top_k,False,32,0.4064905941486358,1.0889233350753784,0.373295879567589,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_top_k,True,32,0.1101478561758995,1.0889233350753784,0.1011529945478436,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_1d,False,4,0.1829104423522949,0.6411125063896179,0.2853016288550395,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_1d,True,4,0.0571724362671375,0.6411125063896179,0.0891769162156893,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_1d,False,8,0.2098528295755386,0.7744686603546143,0.2709636171455292,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_1d,True,8,0.0664857402443885,0.7744686603546143,0.0858469085294504,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_1d,False,16,0.2373015284538269,0.9125336408615112,0.2600468824686765,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_1d,True,16,0.0779473111033439,0.9125336408615112,0.0854185616979061,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_1d,False,32,0.2561062276363373,1.0889233350753784,0.235192156680717,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,knn_1d,True,32,0.0962171778082847,1.0889233350753784,0.0883599191137035,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,bin_1d,False,4,0.1371967829763889,0.6411125063896179,0.2139979825834367,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,bin_1d,True,4,0.0088734742021188,0.6411125063896179,0.0138407441965049,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,bin_1d,False,8,0.1563896299339831,0.7744686603546143,0.2019315150368709,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,bin_1d,True,8,0.0098722972907125,0.7744686603546143,0.0127471875830227,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,bin_1d,False,16,0.1727365897968411,0.9125336408615112,0.1892933937578046,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,bin_1d,True,16,0.012807929306291,0.9125336408615112,0.0140355694659094,200,50
42,sbm_d0.00,gaussian,0.01,per_graph,bin_1d,False,32,0.1791497189551592,1.0889233350753784,0.1645200476328831,200,50
