model_type,stage,arch,k,lr,wd,asymmetric,n_runs,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_subspace_mean,test_subspace_std
digress,stage2c,gnn_all,16.0,0.001,0.001,no,12.0,0.07513606486221154,0.028843816054434233,0.037647999823093414,0.10677800327539444,2.330803414185842,0.6084877152793621
digress,stage2,digress_default,32.0,0.0005,0.001,no,12.0,0.07514732889831066,0.028543036925778035,0.03766399994492531,0.10650799423456192,2.3186914225419364,0.6013424260144214
digress,stage2c,gnn_qk,32.0,0.001,0.001,no,12.0,0.07515232947965463,0.0284423805794201,0.03776320070028305,0.10655799508094788,2.3239668707052865,0.6071661259257629
digress,stage2c,gnn_v,16.0,0.001,0.001,no,12.0,0.07516929879784584,0.028996112087969563,0.03714879974722862,0.10677800327539444,2.3288290202617645,0.604091982961343
digress,stage2c,digress_default,16.0,0.001,0.01,no,12.0,0.07517833045373361,0.028975992487367576,0.03734720125794411,0.10692398995161057,2.3204336166381836,0.6002085953568659
digress,stage2c,digress_default,32.0,0.0005,0.01,no,12.0,0.07522179745137691,0.028559738530394937,0.03831680119037628,0.10729799419641496,2.311385581890742,0.5954487454212556
digress,stage2,digress_default,32.0,0.0005,0.01,no,12.0,0.07522736303508282,0.02878208824729282,0.037139199674129486,0.10673999786376952,2.320746044317881,0.5974146705067739
digress,stage2c,digress_default,32.0,0.001,0.001,no,12.0,0.07526549821098645,0.028645167643267428,0.03776320070028305,0.10655799508094788,2.329188654820124,0.6050563331024029
digress,stage2c,digress_default,16.0,0.001,0.001,no,12.0,0.07527519607295592,0.029030044249009578,0.03714879974722862,0.10946598649024963,2.3324101269245148,0.6070279257805675
digress,stage2c,gnn_all,32.0,0.001,0.001,no,12.0,0.07533442974090576,0.02900351259059874,0.037673600018024445,0.11003599315881728,2.318830927213033,0.5979520226354992
digress,stage2,digress_default,32.0,0.001,0.001,no,12.0,0.07536323027064402,0.028998687886047144,0.037673600018024445,0.11003599315881728,2.3213572800159454,0.5979427323631161
digress,stage2c,digress_default,16.0,0.0005,0.01,no,12.0,0.07538383143643539,0.029026526845909482,0.03760639578104019,0.10936199873685835,2.318877170483271,0.59724942934472
digress,stage2c,gnn_qk,16.0,0.001,0.01,no,12.0,0.0753940964738528,0.029388982456644612,0.03715519979596138,0.11003199219703674,2.318960269292196,0.5967046127590454
digress,stage2c,gnn_qk,32.0,0.0005,0.001,no,12.0,0.07540592985848586,0.028641107986966074,0.0383744016289711,0.10799800604581831,2.3200236658255258,0.5979176384044572
digress,stage2c,gnn_all,32.0,0.0005,0.01,no,12.0,0.07543903061499198,0.028836153001081104,0.03831680119037628,0.1100199967622757,2.3137927651405334,0.590389441021251
digress,stage2c,gnn_v,32.0,0.001,0.001,no,12.0,0.0754670634244879,0.029122263806239185,0.037673600018024445,0.11003599315881728,2.319896787405014,0.5945860159845915
digress,stage2c,digress_default,32.0,0.001,0.01,no,12.0,0.07546753125886123,0.0290811320076326,0.037539198994636536,0.10975199937820436,2.3200298647085824,0.5951979380419132
digress,stage2c,gnn_qk,32.0,0.0005,0.01,no,12.0,0.07546819746494293,0.028880518989454467,0.03831680119037628,0.1100199967622757,2.3151939113934836,0.5905316404546527
digress,stage2c,gnn_v,32.0,0.0005,0.001,no,12.0,0.07549729601790507,0.02903950919352317,0.037356797605752945,0.11017399281263351,2.3131922086079917,0.5901675943244032
digress,stage2c,gnn_qk,32.0,0.001,0.01,no,12.0,0.0754979308694601,0.029015335784744394,0.037539198994636536,0.10975199937820436,2.3302842378616333,0.6015716137508138
digress,stage2c,gnn_v,32.0,0.001,0.01,no,12.0,0.07552513076613347,0.028958932156648663,0.037539198994636536,0.10975199937820436,2.327793558438619,0.6016624953898475
